isolate_name	collection_date	last_modified	type	lineage	originating lab	submitting lab
A/NewYork/137/1999	1999-10-04		A/H3N2		  	 Other Database Import
A/NewYork/105/2002	2002-02-05		A/H3N2		  	 Other Database Import
A/NewYork/152/2000	2000-01-18		A/H3N2		  	 Other Database Import
A/NewYork/107/2002	2002-01-16		A/H3N2		  	 Other Database Import
A/NewYork/74/2002	2002-01-19		A/H3N2		  	 Other Database Import
A/NewYork/202/2003	2003-04-05		A/H3N2		  	 Other Database Import
A/NewYork/94/2001	2001-12-25		A/H3N2		  	 Other Database Import
A/NewYork/181/1999	1999-12-05		A/H3N2		  	 Other Database Import
A/NewYork/104/2002	2002-01-17		A/H3N2		  	 Other Database Import
A/NewYork/122/2002	2002-03-21		A/H3N2		  	 Other Database Import
A/NewYork/56/2003	2003-12-16		A/H3N2		  	 Other Database Import
A/NewYork/63/2003	2003-12-29		A/H3N2		  	 Other Database Import
A/NewYork/65/2003	2003-12-29		A/H3N2		  	 Other Database Import
A/NewYork/70/2004	2004-01-06		A/H3N2		  	 Other Database Import
A/NewYork/136/2002	2002-03-19		A/H3N2		  	 Other Database Import
A/NewYork/162/2000	2000-02-09		A/H3N2		  	 Other Database Import
A/NewYork/199/2003	2003-03-21		A/H3N2		  	 Other Database Import
A/NewYork/81/2002	2002-02-19		A/H3N2		  	 Other Database Import
A/NewYork/164/1999	1999-12-27		A/H3N2		  	 Other Database Import
A/NewYork/182/2000	2000-02-18		A/H3N2		  	 Other Database Import
A/NewYork/9/2003	2003-10-31		A/H3N2		  	 Other Database Import
A/NewYork/37/2003	2003-12-04		A/H3N2		  	 Other Database Import
A/NewYork/75/2002	2002-02-12		A/H3N2		  	 Other Database Import
A/NewYork/97/2002	2002-02-13		A/H3N2		  	 Other Database Import
A/NewYork/102/2002	2002-01-23		A/H3N2		  	 Other Database Import
A/NewYork/112/2002	2002-01-29		A/H3N2		  	 Other Database Import
A/NewYork/118/2002	2002-01-30		A/H3N2		  	 Other Database Import
A/NewYork/66/2003	2003-12-23		A/H3N2		  	 Other Database Import
A/NewYork/139/1999	1999-12-04		A/H3N2		  	 Other Database Import
A/NewYork/183/1999	1999-12-01		A/H3N2		  	 Other Database Import
A/NewYork/187/2000	2000-01-27		A/H3N2		  	 Other Database Import
A/NewYork/201/2003	2003-04-10		A/H3N2		  	 Other Database Import
A/NewYork/145/1999	1999-11-09		A/H3N2		  	 Other Database Import
A/NewYork/156/2000	2000-01-05		A/H3N2		  	 Other Database Import
A/NewYork/213/2003	2003-04-22		A/H3N2		  	 Other Database Import
A/NewYork/263/1999	1999-02-10		A/H3N2		  	 Other Database Import
A/NewYork/20/2003	2003-12-01		A/H3N2		  	 Other Database Import
A/NewYork/76/2002	2002-01-11		A/H3N2		  	 Other Database Import
A/NewYork/125/2002	2002-01-14		A/H3N2		  	 Other Database Import
A/NewYork/155/1999	1999-12-07		A/H3N2		  	 Other Database Import
A/NewYork/184/1999	1999-12-20		A/H3N2		  	 Other Database Import
A/NewYork/195/2003	2003-02-18		A/H3N2		  	 Other Database Import
A/NewYork/203/2003	2003-05-07		A/H3N2		  	 Other Database Import
A/NewYork/240/1998	1998-12-28		A/H3N2		  	 Other Database Import
A/NewYork/249/1998	1998-12-12		A/H3N2		  	 Other Database Import
A/NewYork/250/1998	1998-12-12		A/H3N2		  	 Other Database Import
A/NewYork/247/1998	1998-11-02		A/H3N2		  	 Other Database Import
A/NewYork/58/2003	2003-12-16		A/H3N2		  	 Other Database Import
A/NewYork/142/2000	2000-02-06		A/H3N2		  	 Other Database Import
A/NewYork/188/1999	1999-12-13		A/H3N2		  	 Other Database Import
A/NewYork/196/2003	2003-02-19		A/H3N2		  	 Other Database Import
A/NewYork/197/2003	2003-03-14		A/H3N2		  	 Other Database Import
A/NewYork/215/2003	2003-04-22		A/H3N2		  	 Other Database Import
A/NewYork/216/2003	2003-04-22		A/H3N2		  	 Other Database Import
A/NewYork/224/1998	1998-12-28		A/H3N2		  	 Other Database Import
A/NewYork/253/1999	1999-03-26		A/H3N2		  	 Other Database Import
A/NewYork/256/1998	1998-12-30		A/H3N2		  	 Other Database Import
A/NewYork/259/1999	1999-02-02		A/H3N2		  	 Other Database Import
A/NewYork/262/1999	1999-01-25		A/H3N2		  	 Other Database Import
A/NewYork/264/1999	1999-03-03		A/H3N2		  	 Other Database Import
A/NewYork/265/1999	1999-01-29		A/H3N2		  	 Other Database Import
A/NewYork/267/2003	2003-11-28		A/H3N2		  	 Other Database Import
A/NewYork/268/2003	2003-11-27		A/H3N2		  	 Other Database Import
A/NewYork/269/2003	2003-11-28		A/H3N2		  	 Other Database Import
A/NewYork/270/2003	2003-11-18		A/H3N2		  	 Other Database Import
A/NewYork/284/1999	1999-03-08		A/H3N2		  	 Other Database Import
A/NewYork/286/1999	1999-03-19		A/H3N2		  	 Other Database Import
A/NewYork/287/1998	1998-12-29		A/H3N2		  	 Other Database Import
A/NewYork/248/1999	1999-02-02		A/H3N2		  	 Other Database Import
A/NewYork/255/1999	1999-02-10		A/H3N2		  	 Other Database Import
A/NewYork/257/1999	1999-02-03		A/H3N2		  	 Other Database Import
A/NewYork/271/2003	2003-11-28		A/H3N2		  	 Other Database Import
A/NewYork/273/2001	2001-12-29		A/H3N2		  	 Other Database Import
A/NewYork/274/2002	2002-02-26		A/H3N2		  	 Other Database Import
A/NewYork/900/2004	2004-12-22		A/H3N2		  	 Other Database Import
A/NewYork/900/2004	2004-12-22		A/H3N2		  	 Other Database Import
A/NewYork/900/2004	2004-12-22		A/H3N2		  	 Other Database Import
A/NewYork/900/2004	2004-12-22		A/H3N2		  	 Other Database Import
A/NewYork/905/2004	2004-12-27		A/H3N2		  	 Other Database Import
A/NewYork/905/2004	2004-12-27		A/H3N2		  	 Other Database Import
A/NewYork/918/2005	2005-01-10		A/H3N2		  	 Other Database Import
A/NewYork/908/2004	2004-12-27		A/H3N2		  	 Other Database Import
A/NewYork/908/2004	2004-12-27		A/H3N2		  	 Other Database Import
A/NewYork/908/2004	2004-12-27		A/H3N2		  	 Other Database Import
A/NewYork/913/2005	2005-01-10		A/H3N2		  	 Other Database Import
A/NewYork/913/2005	2005-01-10		A/H3N2		  	 Other Database Import
A/NewYork/913/2005	2005-01-10		A/H3N2		  	 Other Database Import
A/NewYork/913/2005	2005-01-10		A/H3N2		  	 Other Database Import
A/NewYork/918/2005	2005-01-10		A/H3N2		  	 Other Database Import
A/NewYork/918/2005	2005-01-10		A/H3N2		  	 Other Database Import
A/NewYork/918/2005	2005-01-10		A/H3N2		  	 Other Database Import
A/NewYork/928/2006	2006-02-28		A/H3N2		  	 Other Database Import
A/NewYork/933/2006	2006-03-01		A/H3N2		  	 Other Database Import
A/NewYork/900/2004	2004-12-22		A/H3N2		  	 Other Database Import
A/NewYork/908/2004	2004-12-27		A/H3N2		  	 Other Database Import
A/NewYork/923/2006	2006-02-23		A/H3N2		  	 Other Database Import
A/NewYork/928/2006	2006-02-28		A/H3N2		  	 Other Database Import
A/NewYork/933/2006	2006-03-01		A/H3N2		  	 Other Database Import
A/NewYork/933/2006	2006-03-01		A/H3N2		  	 Other Database Import
A/NewYork/938/2006	2006-03-02		A/H3N2		  	 Other Database Import
A/NewYork/928/2006	2006-02-28		A/H3N2		  	 Other Database Import
A/NewYork/918/2005	2005-01-10		A/H3N2		  	 Other Database Import
A/NewYork/923/2006	2006-02-23		A/H3N2		  	 Other Database Import
A/NewYork/923/2006	2006-02-23		A/H3N2		  	 Other Database Import
A/NewYork/923/2006	2006-02-23		A/H3N2		  	 Other Database Import
A/NewYork/928/2006	2006-02-28		A/H3N2		  	 Other Database Import
A/NewYork/928/2006	2006-02-28		A/H3N2		  	 Other Database Import
A/NewYork/933/2006	2006-03-01		A/H3N2		  	 Other Database Import
A/NewYork/933/2006	2006-03-01		A/H3N2		  	 Other Database Import
A/NewYork/938/2006	2006-03-02		A/H3N2		  	 Other Database Import
A/NewYork/938/2006	2006-03-02		A/H3N2		  	 Other Database Import
A/NewYork/938/2006	2006-03-02		A/H3N2		  	 Other Database Import
A/NewYork/923/2006	2006-02-23		A/H3N2		  	 Other Database Import
A/NewYork/938/2006	2006-03-02		A/H3N2		  	 Other Database Import
A/NewYork/913/2005	2005-01-10		A/H3N2		  	 Other Database Import
A/NewYork/908/2004	2004-12-27	2012-09-27	A/H3N2		  	 Other Database Import
A/NewYork/UR06-0515/2007	2007-03-05		A/H3N2		  	 Other Database Import
A/NewYork/UR06-0040/2007	2007-01-17		A/H3N2		  	 Other Database Import
A/NewYork/UR06-0437/2007	2007-02-27		A/H3N2		  	 Other Database Import
A/NewYork/UR06-0529/2007	2007-03-06		A/H3N2		  	 Other Database Import
A/NewYork/UR06-0373/2007	2007-02-21		A/H3N2		  	 Other Database Import
A/NewYork/UR06-0510/2007	2007-03-05		A/H3N2		  	 Other Database Import
A/NewYork/276/2002	2002-03-07		A/H3N2		  	 Other Database Import
A/NewYork/277/1999	1999-01-08		A/H3N2		  	 Other Database Import
A/NewYork/279/1999	1999-02-23		A/H3N2		  	 Other Database Import
A/NewYork/280/1999	1999-04-12		A/H3N2		  	 Other Database Import
A/NewYork/282/1999	1999-02-11		A/H3N2		  	 Other Database Import
A/NewYork/288/1999	1999-02-26		A/H3N2		  	 Other Database Import
A/NewYork/289/1998	1998-12-04		A/H3N2		  	 Other Database Import
A/NewYork/290/1999	1999-02-17		A/H3N2		  	 Other Database Import
A/NewYork/304/1998	1998-12-30		A/H3N2		  	 Other Database Import
A/NewYork/311/1999	1999-03-01		A/H3N2		  	 Other Database Import
A/NewYork/313/1998	1998-12-28		A/H3N2		  	 Other Database Import
A/NewYork/314/1999	1999-02-03		A/H3N2		  	 Other Database Import
A/NewYork/315/1999	1999-01-06		A/H3N2		  	 Other Database Import
A/NewYork/317/1999	1999-01-04		A/H3N2		  	 Other Database Import
A/NewYork/318/1999	1999-02-02		A/H3N2		  	 Other Database Import
A/NewYork/320/1999	1999-03-26		A/H3N2		  	 Other Database Import
A/NewYork/321/1999	1999-01-17		A/H3N2		  	 Other Database Import
A/NewYork/323/1999	1999-01-25		A/H3N2		  	 Other Database Import
A/NewYork/327/1999	1999-03-24		A/H3N2		  	 Other Database Import
A/NewYork/329/1999	1999-02-01		A/H3N2		  	 Other Database Import
A/NewYork/333/1999	1999-02-16		A/H3N2		  	 Other Database Import
A/NewYork/335/1999	1999-01-20		A/H3N2		  	 Other Database Import
A/NewYork/336/1999	1999-02-24		A/H3N2		  	 Other Database Import
A/NewYork/337/1999	1999-03-08		A/H3N2		  	 Other Database Import
A/NewYork/338/1999	1999-02-08		A/H3N2		  	 Other Database Import
A/NewYork/340/1999	1999-01-23		A/H3N2		  	 Other Database Import
A/NewYork/126/2002	2002-03-01		A/H3N2		  	 Other Database Import
A/NewYork/260/1999	1999-02-11		A/H3N2		  	 Other Database Import
A/NewYork/278/1999	1999-02-04		A/H3N2		  	 Other Database Import
A/NewYork/324/1999	1999-01-26		A/H3N2		  	 Other Database Import
A/NewYork/331/1999	1999-01-28		A/H3N2		  	 Other Database Import
A/NewYork/332/1999	1999-02-17		A/H3N2		  	 Other Database Import
A/NewYork/359/2005	2005-01-17		A/H3N2		  	 Other Database Import
A/NewYork/361/2005	2005-02-02		A/H3N2		  	 Other Database Import
A/NewYork/378/2005	2005-01-03		A/H3N2		  	 Other Database Import
A/NewYork/379/2004	2004-11-30		A/H3N2		  	 Other Database Import
A/NewYork/382/2005	2005-01-29		A/H3N2		  	 Other Database Import
A/NewYork/386/2004	2004-12-22		A/H3N2		  	 Other Database Import
A/NewYork/387/2004	2004-12-27		A/H3N2		  	 Other Database Import
A/NewYork/391/2005	2005-01-07		A/H3N2		  	 Other Database Import
A/NewYork/392/2004	2004-12-21	2010-04-12	A/H3N2		  	 Other Database Import
A/NewYork/396/2005	2005-03-04		A/H3N2		  	 Other Database Import
A/NewYork/244/2004	2004-12-24		A/H3N2		  	 Other Database Import
A/NewYork/254/1998	1998-12-31		A/H3N2		  	 Other Database Import
A/NewYork/275/2002	2002-01-04		A/H3N2		  	 Other Database Import
A/NewYork/283/1999	1999-02-12		A/H3N2		  	 Other Database Import
A/NewYork/285/1999	1999-01-25		A/H3N2		  	 Other Database Import
A/NewYork/316/1999	1999-01-26		A/H3N2		  	 Other Database Import
A/NewYork/322/1999	1999-03-18		A/H3N2		  	 Other Database Import
A/NewYork/356/2004	2004-12-01		A/H3N2		  	 Other Database Import
A/NewYork/357/2005	2005-02-15		A/H3N2		  	 Other Database Import
A/NewYork/366/2004	2004-12-20		A/H3N2		  	 Other Database Import
A/NewYork/369/2005	2005-01-03		A/H3N2		  	 Other Database Import
A/NewYork/370/2004	2004-12-20		A/H3N2		  	 Other Database Import
A/NewYork/371/2004	2004-12-09		A/H3N2		  	 Other Database Import
A/NewYork/372/2004	2004-12-22		A/H3N2		  	 Other Database Import
A/NewYork/374/2004	2004-12-27		A/H3N2		  	 Other Database Import
A/NewYork/375/2005	2005-01-29		A/H3N2		  	 Other Database Import
A/NewYork/381/2004	2004-12-28		A/H3N2		  	 Other Database Import
A/NewYork/383/2004	2004-12-29		A/H3N2		  	 Other Database Import
A/NewYork/388/2005	2005-01-28		A/H3N2		  	 Other Database Import
A/NewYork/98/2004	2004-11-04		A/H3N2		  	 Other Database Import
A/NewYork/207/2004	2004-12-09		A/H3N2		  	 Other Database Import
A/NewYork/347/1999	1999-01-19		A/H3N2		  	 Other Database Import
A/NewYork/398/1999	1999-03-24		A/H3N2		  	 Other Database Import
A/NewYork/153/1999	1999-12-09		A/H3N2		  	 Other Database Import
A/NewYork/77/2001	2001-12-26		A/H3N2		  	 Other Database Import
A/NewYork/266/1999	1999-05-06		A/H3N2		  	 Other Database Import
A/NewYork/272/2003	2003-11-28		A/H3N2		  	 Other Database Import
A/NewYork/325/1999	1999-02-26		A/H3N2		  	 Other Database Import
A/NewYork/328/1998	1998-12-28		A/H3N2		  	 Other Database Import
A/NewYork/330/1998	1998-12-30		A/H3N2		  	 Other Database Import
A/NewYork/334/2004	2004-12-21		A/H3N2		  	 Other Database Import
A/NewYork/353/2004	2004-11-05		A/H3N2		  	 Other Database Import
A/NewYork/360/2004	2004-11-18		A/H3N2		  	 Other Database Import
A/NewYork/362/2004	2004-12-08		A/H3N2		  	 Other Database Import
A/NewYork/365/2004	2004-12-16		A/H3N2		  	 Other Database Import
A/NewYork/367/2005	2005-02-16		A/H3N2		  	 Other Database Import
A/NewYork/373/2005	2005-02-22		A/H3N2		  	 Other Database Import
A/NewYork/384/2005	2005-01-06		A/H3N2		  	 Other Database Import
A/NewYork/385/2004	2004-12-28		A/H3N2		  	 Other Database Import
A/NewYork/390/2005	2005-01-05		A/H3N2		  	 Other Database Import
A/NewYork/393/2005	2005-03-23		A/H3N2		  	 Other Database Import
A/NewYork/218/2004	2004-12-07		A/H3N2		  	 Other Database Import
A/NewYork/140/1999	1999-12-27		A/H3N2		  	 Other Database Import
A/NewYork/204/2003	2003-08-16		A/H3N2		  	 Other Database Import
A/NewYork/251/1998	1998-12-28		A/H3N2		  	 Other Database Import
A/NewYork/252/1999	1999-01-12		A/H3N2		  	 Other Database Import
A/NewYork/261/1999	1999-04-09		A/H3N2		  	 Other Database Import
A/NewYork/339/1999	1999-02-09		A/H3N2		  	 Other Database Import
A/NewYork/358/2004	2004-12-01		A/H3N2		  	 Other Database Import
A/NewYork/377/2004	2004-12-20		A/H3N2		  	 Other Database Import
A/NewYork/380/2004	2004-12-26		A/H3N2		  	 Other Database Import
A/NewYork/190/2004	2004-11-11		A/H3N2		  	 Other Database Import
A/NewYork/319/2004	2004-11-08		A/H3N2		  	 Other Database Import
A/NewYork/352/2005	2005-01-04		A/H3N2		  	 Other Database Import
A/NewYork/363/2004	2004-12-15		A/H3N2		  	 Other Database Import
A/NewYork/394/2005	2005-01-04		A/H3N2		  	 Other Database Import
A/NewYork/68/2004	2004-11-06		A/H3N2		  	 Other Database Import
A/NewYork/200/2004	2004-11-22		A/H3N2		  	 Other Database Import
A/NewYork/210/2005	2005-02-15		A/H3N2		  	 Other Database Import
A/NewYork/232/2004	2004-12-09		A/H3N2		  	 Other Database Import
A/NewYork/301/2001	2001-01-21		A/H3N2		  	 Other Database Import
A/NewYork/351/2004	2004-11-06		A/H3N2		  	 Other Database Import
A/NewYork/364/2004	2004-12-28		A/H3N2		  	 Other Database Import
A/NewYork/376/2005	2005-01-18		A/H3N2		  	 Other Database Import
A/NewYork/395/2005	2005-01-24		A/H3N2		  	 Other Database Import
A/NewYork/123/2004	2004-12-16		A/H3N2		  	 Other Database Import
A/NewYork/401/2001	2001-11-21		A/H3N2		  	 Other Database Import
A/NewYork/402/2001	2001-12-27		A/H3N2		  	 Other Database Import
A/NewYork/403/2002	2002-01-04		A/H3N2		  	 Other Database Import
A/NewYork/404/2002	2002-01-05		A/H3N2		  	 Other Database Import
A/NewYork/405/2002	2002-01-07		A/H3N2		  	 Other Database Import
A/NewYork/406/2002	2002-01-08		A/H3N2		  	 Other Database Import
A/NewYork/408/2002	2002-01-11		A/H3N2		  	 Other Database Import
A/NewYork/409/2002	2002-01-14		A/H3N2		  	 Other Database Import
A/NewYork/410/2002	2002-01-15		A/H3N2		  	 Other Database Import
A/NewYork/411/2002	2002-01-22		A/H3N2		  	 Other Database Import
A/NewYork/412/2002	2002-02-01		A/H3N2		  	 Other Database Import
A/NewYork/413/2002	2002-02-08		A/H3N2		  	 Other Database Import
A/NewYork/414/2002	2002-02-12		A/H3N2		  	 Other Database Import
A/NewYork/415/2002	2002-02-22		A/H3N2		  	 Other Database Import
A/NewYork/416/2002	2002-02-28		A/H3N2		  	 Other Database Import
A/NewYork/418/2002	2002-01-16		A/H3N2		  	 Other Database Import
A/NewYork/419/2002	2002-01-18		A/H3N2		  	 Other Database Import
A/NewYork/424/1999	1999-12-16		A/H3N2		  	 Other Database Import
A/NewYork/426/1999	1999-12-20		A/H3N2		  	 Other Database Import
A/NewYork/427/1999	1999-12-27		A/H3N2		  	 Other Database Import
A/NewYork/431/2000	2000-01-03		A/H3N2		  	 Other Database Import
A/NewYork/433/2000	2000-01-05		A/H3N2		  	 Other Database Import
A/NewYork/434/2000	2000-01-09		A/H3N2		  	 Other Database Import
A/NewYork/436/2000	2000-01-10		A/H3N2		  	 Other Database Import
A/NewYork/437/2000	2000-01-12		A/H3N2		  	 Other Database Import
A/NewYork/438/2000	2000-01-18		A/H3N2		  	 Other Database Import
A/NewYork/354/2004	2004-12-28		A/H3N2		  	 Other Database Import
A/NewYork/389/2005	2005-01-04		A/H3N2		  	 Other Database Import
A/NewYork/236/2004	2004-12-27		A/H3N2		  	 Other Database Import
A/NewYork/237/2004	2004-12-16		A/H3N2		  	 Other Database Import
A/NewYork/407/2002	2002-01-08		A/H3N2		  	 Other Database Import
A/NewYork/421/1999	1999-12-31		A/H3N2		  	 Other Database Import
A/NewYork/425/1999	1999-12-17		A/H3N2		  	 Other Database Import
A/NewYork/430/2000	2000-01-03		A/H3N2		  	 Other Database Import
A/NewYork/439/2000	2000-01-23		A/H3N2		  	 Other Database Import
A/NewYork/448/1998	1998-11-23		A/H3N2		  	 Other Database Import
A/NewYork/449/1999	1999-01-04		A/H3N2		  	 Other Database Import
A/NewYork/450/1999	1999-01-08		A/H3N2		  	 Other Database Import
A/NewYork/451/1999	1999-01-11		A/H3N2		  	 Other Database Import
A/NewYork/453/1999	1999-01-12		A/H3N2		  	 Other Database Import
A/NewYork/454/1999	1999-01-13		A/H3N2		  	 Other Database Import
A/NewYork/456/1999	1999-01-15		A/H3N2		  	 Other Database Import
A/NewYork/457/1999	1999-01-15		A/H3N2		  	 Other Database Import
A/NewYork/458/1999	1999-01-22		A/H3N2		  	 Other Database Import
A/NewYork/459/1999	1999-01-25		A/H3N2		  	 Other Database Import
A/NewYork/463/2005	2005-02-09		A/H3N2		  	 Other Database Import
A/NewYork/464/2005	2005-03-07		A/H3N2		  	 Other Database Import
A/NewYork/468/2004	2004-09-17		A/H3N2		  	 Other Database Import
A/NewYork/471/2004	2004-11-08		A/H3N2		  	 Other Database Import
A/NewYork/485/2003	2003-01-20		A/H3N2		  	 Other Database Import
A/NewYork/420/2002	2002-01-28		A/H3N2		  	 Other Database Import
A/NewYork/422/1999	1999-12-15		A/H3N2		  	 Other Database Import
A/NewYork/423/1999	1999-12-16		A/H3N2		  	 Other Database Import
A/NewYork/428/1999	1999-09-28		A/H3N2		  	 Other Database Import
A/NewYork/429/2000	2000-01-03		A/H3N2		  	 Other Database Import
A/NewYork/432/2000	2000-01-05		A/H3N2		  	 Other Database Import
A/NewYork/440/2000	2000-01-24		A/H3N2		  	 Other Database Import
A/NewYork/452/1999	1999-01-11		A/H3N2		  	 Other Database Import
A/NewYork/455/1999	1999-01-14		A/H3N2		  	 Other Database Import
A/NewYork/461/2005	2005-02-02		A/H3N2		  	 Other Database Import
A/NewYork/465/2005	2005-03-08		A/H3N2		  	 Other Database Import
A/NewYork/470/2004	2004-09-27		A/H3N2		  	 Other Database Import
A/NewYork/355/2004	2004-11-01		A/H3N2		  	 Other Database Import
A/NewYork/191/2005	2005-01-07		A/H3N2		  	 Other Database Import
A/NewYork/206/2005	2005-01-19		A/H3N2		  	 Other Database Import
A/NewYork/238/2005	2005-02-01		A/H3N2		  	 Other Database Import
A/NewYork/243/2005	2005-02-02		A/H3N2		  	 Other Database Import
A/NewYork/258/2005	2005-01-18		A/H3N2		  	 Other Database Import
A/NewYork/397/1999	1999-02-04		A/H3N2		  	 Other Database Import
A/NewYork/469/2004	2004-09-20		A/H3N2		  	 Other Database Import
A/NewYork/503/1997	1997-11-29		A/H3N2		  	 Other Database Import
A/NewYork/505/1997	1997-12-02		A/H3N2		  	 Other Database Import
A/NewYork/508/1997	1997-12-22		A/H3N2		  	 Other Database Import
A/NewYork/510/1998	1998-02-20		A/H3N2		  	 Other Database Import
A/NewYork/511/1997	1997-12-17		A/H3N2		  	 Other Database Import
A/NewYork/513/1997	1997-12-24		A/H3N2		  	 Other Database Import
A/NewYork/515/1997	1997-12-21		A/H3N2		  	 Other Database Import
A/NewYork/517/1998	1998-01-03	2012-09-27	A/H3N2		  	 Other Database Import
A/NewYork/462/2005	2005-02-08		A/H3N2		  	 Other Database Import
A/NewYork/466/2004	2004-11-27		A/H3N2		  	 Other Database Import
A/NewYork/467/2004	2004-09-17		A/H3N2		  	 Other Database Import
A/NewYork/368/2004	2004-11-11		A/H3N2		  	 Other Database Import
A/NewYork/501/1997	1997-11-26		A/H3N2		  	 Other Database Import
A/NewYork/509/1997	1997-12-23		A/H3N2		  	 Other Database Import
A/NewYork/512/1998	1998-01-29		A/H3N2		  	 Other Database Import
A/NewYork/516/1997	1997-12-26	2012-09-27	A/H3N2		  	 Other Database Import
A/NewYork/518/1998	1998-01-05		A/H3N2		  	 Other Database Import
A/NewYork/519/1998	1998-02-13		A/H3N2		  	 Other Database Import
A/NewYork/520/1998	1998-01-05		A/H3N2		  	 Other Database Import
A/NewYork/521/1998	1998-01-19		A/H3N2		  	 Other Database Import
A/NewYork/522/1997	1997-12-31		A/H3N2		  	 Other Database Import
A/NewYork/523/1998	1998-02-02		A/H3N2		  	 Other Database Import
A/NewYork/524/1997	1997-12-31		A/H3N2		  	 Other Database Import
A/NewYork/525/1998	1998-03-03		A/H3N2		  	 Other Database Import
A/NewYork/528/1998	1998-01-08		A/H3N2		  	 Other Database Import
A/NewYork/531/1998	1998-02-22		A/H3N2		  	 Other Database Import
A/NewYork/532/1998	1998-01-18		A/H3N2		  	 Other Database Import
A/NewYork/533/1998	1998-02-01		A/H3N2		  	 Other Database Import
A/NewYork/534/1998	1998-01-29		A/H3N2		  	 Other Database Import
A/NewYork/539/1998	1998-02-10		A/H3N2		  	 Other Database Import
A/NewYork/541/1998	1998-03-12		A/H3N2		  	 Other Database Import
A/NewYork/542/1998	1998-02-19		A/H3N2		  	 Other Database Import
A/NewYork/543/1998	1998-02-17		A/H3N2		  	 Other Database Import
A/NewYork/545/1997	1997-12-26		A/H3N2		  	 Other Database Import
A/NewYork/546/1998	1998-01-26		A/H3N2		  	 Other Database Import
A/NewYork/547/1997	1997-12-28		A/H3N2		  	 Other Database Import
A/NewYork/548/1998	1998-02-12		A/H3N2		  	 Other Database Import
A/NewYork/435/2000	2000-01-09	2012-09-27	A/H3N2		  	 Other Database Import
A/NewYork/535/1998	1998-03-05		A/H3N2		  	 Other Database Import
A/NewYork/506/1998	1998-02-02		A/H3N2		  	 Other Database Import
A/NewYork/527/1998	1998-03-15		A/H3N2		  	 Other Database Import
A/NewYork/538/1998	1998-02-08		A/H3N2		  	 Other Database Import
A/NewYork/214/2003	2003-04-23		A/H3N2		  	 Other Database Import
A/NewYork/460/1999	1999-01-25		A/H3N2		  	 Other Database Import
A/NewYork/326/1999	1999-01-21		A/H3N2		  	 Other Database Import
A/NewYork/245/2004	2004-11-18		A/H3N2		  	 Other Database Import
A/NewYork/526/1997	1997-12-29		A/H3N2		  	 Other Database Import
A/NewYork/472/2004	2004-09-27		A/H3N2		  	 Other Database Import
A/NewYork/502/1998	1998-03-20		A/H3N2		  	 Other Database Import
A/NewYork/73/2004	2004-10-19		A/H3N2		  	 Other Database Import
A/NewYork/544/1998	1998-02-02		A/H3N2		  	 Other Database Import
A/NewYork/104/2003	2003-12-29		A/H3N2		  	 Other Database Import
A/NewYork/11/2004	2004-01-05		A/H3N2		  	 Other Database Import
A/NewYork/9/2004	2004-01-04		A/H3N2		  	 Other Database Import
A/NewYork/22/2004	2004-04-22		A/H3N2		  	 Other Database Import
A/NewYork/22/2006	2006-11-29		A/H3N2		  	 Centers for Disease Control and Prevention
A/NewYork/02/2007	2007-01-30		A/H3N2		  	 Centers for Disease Control and Prevention
A/NewYork/03/2007	2007-02-01		A/H3N2		  	 Centers for Disease Control and Prevention
A/NewYork/13/2007	2007-09-10		A/H3N2		  	 Centers for Disease Control and Prevention
A/Human/NEW-YORK/31/2004	2004-01-06		A/H3N2		  	 Other Database Import
A/NewYork/40/2004	2004-11-18		A/H3N2		  	 Other Database Import
A/Human/NEW-YORK/55/2004	2004-11-18		A/H3N2		  	 Other Database Import
A/NewYork/NY-03-1484/2003	2003-03-14		A/H3N2		  	 Other Database Import
A/NewYork/NY-03-1626/2003	2003-04-22		A/H3N2		  	 Other Database Import
A/NewYork/NY-03-1932/2003	2003-08-16		A/H3N2		  	 Other Database Import
A/NewYork/NY-04-005-1626/2004	2004-01-04		A/H3N2		  	 Other Database Import
A/NewYork/NY-04-005-2135/2004	2004-01-05		A/H3N2		  	 Other Database Import
A/NewYork/NY-04-1007-CASE-NY-007/2003	2003-12-29		A/H3N2		  	 Other Database Import
A/NewYork/NY-04-1647/2004	2004-09-21		A/H3N2		  	 Other Database Import
A/NewYork/NY-12512-ORIGINAL/2004	2004-11-09		A/H3N2		  	 Other Database Import
A/NewYork/NY-13341/2004	2004-11-19		A/H3N2		  	 Other Database Import
A/NewYork/NY-13342/2004	2004-11-19		A/H3N2		  	 Other Database Import
A/NewYork/NY-17343/2005	2005-01-03		A/H3N2		  	 Other Database Import
A/NewYork/NY-17460/2005	2005-01-05		A/H3N2		  	 Other Database Import
A/NewYork/NY-19770-ORIGINAL/2006	2006-01-01		A/H3N2		  	 Other Database Import
A/NewYork/NY-22327-ORIGINAL/2006	2006-01-26		A/H3N2		  	 Other Database Import
A/NewYork/NY-26239/2004	2004-04-22		A/H3N2		  	 Other Database Import
A/NewYork/NY-31003/2006	2006-04-17		A/H3N2		  	 Other Database Import
A/NewYork/NY-8548/2003	2003-02-12		A/H3N2		  	 Other Database Import
A/NewYork/NY-W15509/2003	2003-11-19		A/H3N2		  	 Other Database Import
A/NewYork/22/2006	2006-11-29		A/H3N2		  	 Other Database Import
