	Bayesian SkyGrid: NewYork_B_Yamagata_20190318_filtered_aligned.log			
Time	Mean	Median	Upper	Lower
0.0	17.699125885737455	14.478882780537536	11039.997666815758	0.09313836331587998
0.08080808080808081	17.56853152135331	14.340521653835951	4667.394172635478	0.06638915524932633
0.16161616161616163	17.310098706443664	14.38045020802744	3837.6815801964767	0.08440302828806555
0.24242424242424243	17.25857107388212	14.145244246444832	2497.1974548211288	0.09937571004273749
0.32323232323232326	17.288072779228504	14.08862758571351	2217.0986944779092	0.15556498165033233
0.4040404040404041	17.128943331562777	14.280478565138093	2048.295431637566	0.23177981078168858
0.4848484848484849	17.061332050933974	14.101820477287552	1411.01802798754	0.3210592768660103
0.5656565656565657	17.188349131436908	14.285698604163423	982.0428261455452	0.43905894628659187
0.6464646464646465	16.957601614592924	13.870859301330237	680.1474248009564	0.6254716276855149
0.7272727272727273	16.95861901248277	14.08476993217402	514.6638010982524	0.9601632809286584
0.8080808080808081	16.79941033151945	13.87082389979926	324.2312705046028	1.282954118720225
0.8888888888888888	15.702832699173936	12.86360741932302	235.33875729684524	1.6451900952042686
0.9696969696969696	13.791980254354979	11.72404624187809	139.1804747250677	1.6241192960059754
1.0505050505050504	10.281634797393767	8.937173216951273	86.43385743141343	1.7036101048280465
1.1313131313131313	7.040091801185308	6.426144112866326	48.67892504659065	1.3606648288782106
1.2121212121212122	4.38652151625878	4.096009445712176	23.909422063626348	0.8390635577683999
1.292929292929293	2.5567279598036885	2.4560294235095865	12.771452418055327	0.6084452154112714
1.373737373737374	1.920986137259122	1.843992574046068	7.960695451069809	0.4602402902384363
1.4545454545454548	1.7478445164263419	1.6688146602577056	7.653863022215591	0.4595303084869347
1.5353535353535357	1.8054262992455041	1.6922661969596968	8.665360846175137	0.4507843954884109
1.6161616161616166	1.9778429263422979	1.8767018757901517	10.033708150034064	0.4040735592255082
1.6969696969696975	2.1629917441453235	2.024799149622683	12.961536030546648	0.44665587174388816
1.7777777777777783	2.3359425839390004	2.1856111136374023	10.258389531617965	0.5447956530458052
1.8585858585858592	1.691839481776845	1.5995207545072565	6.652207034668183	0.4129322146260785
1.9393939393939401	1.0272980830674534	1.0012496854617805	4.237903477122544	0.2874935038420387
2.0202020202020208	0.8622199814127994	0.854265557726948	2.7216923746623074	0.23616028501469233
2.1010101010101017	1.0044929023198763	0.9823873446619626	3.4913727044935174	0.3201782312333603
2.1818181818181825	1.4641631437393632	1.4084296699893366	6.323556336142814	0.384172611628775
2.2626262626262634	2.0318979924564253	1.8950334661802386	10.865848676658342	0.5213143405173146
2.3434343434343443	2.402674180568188	2.249654166562641	12.160982556764864	0.43624626727983407
2.424242424242425	2.458819807097096	2.3213567921249805	14.140031310789121	0.46322886214944675
2.505050505050506	2.439308139946612	2.345127912217468	15.642734851808177	0.4144694886386176
2.585858585858587	2.4680162940034305	2.409535431035241	16.176977506589868	0.36934529993293325
2.666666666666668	2.819005731605434	2.7573113629688013	15.545739815835805	0.3683486701067061
2.7474747474747487	3.6348934146304246	3.521057551964078	18.309121509569184	0.8546748664643535
2.8282828282828296	5.4250612305227515	5.160892227430865	22.126819375385676	1.3841407053804882
2.9090909090909105	7.219806477510088	6.73843499701358	28.9184829710923	2.0043553329389776
2.9898989898989914	7.517945316247394	7.096639715491385	31.65561434758823	2.0244814123712485
3.0707070707070723	10.402740701752261	9.762726626912539	37.82298954179559	2.9537468966371
3.151515151515153	13.110681130519408	12.160686655476356	52.00988768192793	3.2408709489001812
3.232323232323234	16.420148593138286	15.047033896867068	87.5159321894517	3.8956039218525818
3.313131313131315	19.743786485527313	17.964970523063364	121.38427291854912	4.472797805490984
3.393939393939396	22.047763878053072	20.076149126768268	146.80994063307907	4.478335566152488
3.4747474747474767	22.368371918834026	20.256722957669044	133.96128445968495	4.117046099854195
3.5555555555555576	20.342053285704306	18.663446958946317	116.37335925668374	3.65838695933649
3.6363636363636385	17.53765382521968	16.072636252213076	101.78825664671798	2.861853573375052
3.7171717171717193	13.348035768983484	12.57013228752979	70.70843070407231	2.2114352728674547
3.7979797979798002	11.315219975612132	10.78372894355929	57.965061298170795	2.244950946479202
3.878787878787881	11.695006318578612	10.752147119489038	65.84023070018401	2.661236390232175
3.959595959595962	12.63984825565893	11.482983761421139	83.72986677092035	3.0093322897930004
4.040404040404042	12.49204127297868	11.417301793240089	91.17009291652106	2.617128097356029
4.121212121212123	10.668393510117431	9.902564960097736	68.19944901686327	1.8120314934035586
4.202020202020203	8.026835625099007	7.492266055248576	66.31286372859437	1.3433525468359881
4.282828282828284	5.698696155095015	5.328892231460186	40.4391438439478	0.7095066900704229
4.363636363636364	3.7948585617527844	3.6210520010140472	26.482589345775448	0.36280832665318474
4.444444444444445	2.4004929897875207	2.3304818903373765	24.96734245299705	0.2781925258453827
4.525252525252525	1.4882660782294566	1.4546013129581523	14.893019242312475	0.13810773485974165
4.6060606060606055	0.9855296365469747	0.9458563602263188	13.321433315749594	0.10726916179457123
4.686868686868686	0.7028395524253256	0.6673757281865397	8.318904503731005	0.06605901749365929
4.767676767676766	0.5281371239787697	0.5094719720575727	6.48184840123887	0.0518301933401951
4.848484848484847	0.48385516750102336	0.44386973824192666	5.17024082498261	0.0577886149255043
4.929292929292927	0.39314423461421244	0.37023393822808837	4.2715294909750785	0.05134100028200444
5.010101010101008	0.3018262404944439	0.30484425668851306	2.8816267727892386	0.028535039354714936
5.090909090909088	0.2421432352710047	0.2620641626813892	2.9903624392483033	0.019689031915719468
