isolate_name	collection_date	last_modified	type	lineage	originating lab	submitting lab	id	duplicate
A/NewYork/WC-LVD-14-031/2014	2014-01-27T05:00:00Z	2014-09-08T04:00:00Z	A/H1N1	unknown	  	 Other Database Import	405	FALSE
A/NewYork/WC-LVD-14-030/2014	2014-01-23T05:00:00Z	2014-09-08T04:00:00Z	A/H1N1	unknown	  	 Other Database Import	406	FALSE
A/NewYork/WC-LVD-14-029/2014	2014-01-23T05:00:00Z	2014-09-08T04:00:00Z	A/H1N1	unknown	  	 Other Database Import	407	FALSE
A/NewYork/WC-LVD-14-028/2014	2014-01-20T05:00:00Z	2014-09-08T04:00:00Z	A/H1N1	unknown	  	 Other Database Import	408	FALSE
A/NewYork/WC-LVD-14-027/2014	2014-02-14T05:00:00Z	2014-09-08T04:00:00Z	A/H1N1	unknown	  	 Other Database Import	409	FALSE
A/NewYork/WC-LVD-14-026/2014	2014-02-09T05:00:00Z	2014-09-08T04:00:00Z	A/H1N1	unknown	  	 Other Database Import	410	FALSE
A/NewYork/WC-LVD-14-025/2014	2014-02-09T05:00:00Z	2014-09-08T04:00:00Z	A/H1N1	unknown	  	 Other Database Import	411	FALSE
A/NewYork/WC-LVD-14-024/2014	2014-02-04T05:00:00Z	2014-09-08T04:00:00Z	A/H1N1	unknown	  	 Other Database Import	412	FALSE
A/NewYork/WC-LVD-14-023/2014	2014-02-03T05:00:00Z	2014-09-08T04:00:00Z	A/H1N1	unknown	  	 Other Database Import	413	FALSE
A/NewYork/WC-LVD-14-022/2014	2014-01-31T05:00:00Z	2014-09-08T04:00:00Z	A/H1N1	unknown	  	 Other Database Import	414	FALSE
A/NewYork/WC-LVD-14-021/2014	2014-01-30T05:00:00Z	2014-09-08T04:00:00Z	A/H1N1	unknown	  	 Other Database Import	415	FALSE
A/NewYork/WC-LVD-14-020/2014	2014-01-29T05:00:00Z	2014-09-08T04:00:00Z	A/H1N1	unknown	  	 Other Database Import	416	FALSE
A/NewYork/WC-LVD-14-019/2014	2014-01-28T05:00:00Z	2014-09-08T04:00:00Z	A/H1N1	unknown	  	 Other Database Import	417	FALSE
A/NewYork/WC-LVD-14-018/2014	2014-01-28T05:00:00Z	2014-09-08T04:00:00Z	A/H1N1	unknown	  	 Other Database Import	418	FALSE
A/NewYork/WC-LVD-14-017/2014	2014-01-27T05:00:00Z	2014-09-08T04:00:00Z	A/H1N1	unknown	  	 Other Database Import	419	FALSE
A/NewYork/WC-LVD-14-016/2014	2014-01-27T05:00:00Z	2014-09-08T04:00:00Z	A/H1N1	unknown	  	 Other Database Import	420	FALSE
A/NewYork/WC-LVD-14-015/2014	2014-01-22T05:00:00Z	2014-09-08T04:00:00Z	A/H1N1	unknown	  	 Other Database Import	421	FALSE
A/NewYork/WC-LVD-14-014/2014	2014-01-22T05:00:00Z	2014-09-08T04:00:00Z	A/H1N1	unknown	  	 Other Database Import	422	FALSE
A/NewYork/WC-LVD-14-013/2014	2014-01-21T05:00:00Z	2014-09-08T04:00:00Z	A/H1N1	unknown	  	 Other Database Import	423	FALSE
A/NewYork/WC-LVD-14-012/2014	2014-01-21T05:00:00Z	2014-09-08T04:00:00Z	A/H1N1	unknown	  	 Other Database Import	424	FALSE
A/NewYork/WC-LVD-14-011/2014	2014-01-21T05:00:00Z	2014-09-08T04:00:00Z	A/H1N1	unknown	  	 Other Database Import	425	FALSE
A/NewYork/WC-LVD-14-010/2014	2014-01-20T05:00:00Z	2014-09-08T04:00:00Z	A/H1N1	unknown	  	 Other Database Import	426	FALSE
A/NewYork/WC-LVD-14-009/2014	2014-01-19T05:00:00Z	2014-09-08T04:00:00Z	A/H1N1	unknown	  	 Other Database Import	427	FALSE
A/NewYork/WC-LVD-14-008/2014	2014-01-18T05:00:00Z	2014-09-08T04:00:00Z	A/H1N1	unknown	  	 Other Database Import	428	FALSE
A/NewYork/WC-LVD-14-007/2014	2014-01-15T05:00:00Z	2014-09-08T04:00:00Z	A/H1N1	unknown	  	 Other Database Import	429	FALSE
A/NewYork/WC-LVD-14-006/2014	2014-01-14T05:00:00Z	2014-09-08T04:00:00Z	A/H1N1	unknown	  	 Other Database Import	430	FALSE
A/NewYork/WC-LVD-14-005/2014	2014-01-14T05:00:00Z	2014-09-08T04:00:00Z	A/H1N1	unknown	  	 Other Database Import	431	FALSE
A/NewYork/WC-LVD-14-004/2014	2014-01-13T05:00:00Z	2014-09-08T04:00:00Z	A/H1N1	unknown	  	 Other Database Import	432	FALSE
A/NewYork/WC-LVD-14-003/2014	2014-01-13T05:00:00Z	2014-09-08T04:00:00Z	A/H1N1	unknown	  	 Other Database Import	433	FALSE
A/NewYork/WC-LVD-14-002/2014	2014-01-06T05:00:00Z	2014-09-08T04:00:00Z	A/H1N1	unknown	  	 Other Database Import	434	FALSE
A/NewYork/WC-LVD-14-001/2014	2014-01-02T05:00:00Z	2014-09-08T04:00:00Z	A/H1N1	unknown	  	 Other Database Import	435	FALSE
A/NewYork/07/2019	2019-02-04T05:00:00Z	2019-02-21T05:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1001	FALSE
A/NewYork/06/2019	2019-01-31T05:00:00Z	2019-02-21T05:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1002	FALSE
A/NewYork/11/2018	2018-02-04T05:00:00Z	2019-02-19T05:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1003	FALSE
A/NewYork/02/2019	2019-01-04T05:00:00Z	2019-02-13T05:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1004	FALSE
A/NewYork/01/2019	2019-01-03T05:00:00Z	2019-02-13T05:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1005	FALSE
A/NewYork/60/2018	2018-12-27T05:00:00Z	2019-01-25T05:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1006	FALSE
A/NewYork/58/2018	2018-12-24T05:00:00Z	2019-01-25T05:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1007	FALSE
A/NewYork/56/2018	2018-12-17T05:00:00Z	2019-01-18T05:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1008	FALSE
A/NewYork/54/2018	2018-12-13T05:00:00Z	2019-01-18T05:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1009	FALSE
A/NewYork/51/2018	2018-11-24T05:00:00Z	2019-01-18T05:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1010	FALSE
A/NewYork/48/2018	2018-10-22T04:00:00Z	2019-01-18T05:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1011	FALSE
A/NewYork/52/2018	2018-11-24T05:00:00Z	2019-01-03T05:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1012	FALSE
A/NewYork/53/2018	2018-11-26T05:00:00Z	2019-01-03T05:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1013	FALSE
A/NewYork/50/2018	2018-11-13T05:00:00Z	2018-12-13T05:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1015	FALSE
A/NewYork/47/2018	2018-10-03T04:00:00Z	2018-12-06T05:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1016	FALSE
A/NewYork/45/2018	2018-09-14T04:00:00Z	2018-12-06T05:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1017	FALSE
A/NewYork/44/2018	2018-09-13T04:00:00Z	2018-12-06T05:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1018	FALSE
A/NewYork/49/2018	2018-10-29T04:00:00Z	2018-11-29T05:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1019	FALSE
A/NewYork/43/2018	2018-09-20T04:00:00Z	2018-10-17T04:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1024	FALSE
A/NewYork/42/2018	2018-09-07T04:00:00Z	2018-10-17T04:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1025	FALSE
A/NewYork/36/2018	2018-04-13T04:00:00Z	2018-05-15T04:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1026	FALSE
A/NewYork/35/2018	2018-04-10T04:00:00Z	2018-05-15T04:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1027	FALSE
A/NewYork/30/2018	2018-02-25T05:00:00Z	2018-05-01T04:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1028	FALSE
A/NewYork/33/2018	2018-03-28T04:00:00Z	2018-05-01T04:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1029	FALSE
A/NewYork/29/2018	2018-03-18T04:00:00Z	2018-05-01T04:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1030	FALSE
A/NewYork/25/2018	2018-03-04T05:00:00Z	2018-05-01T04:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1031	FALSE
A/NewYork/24/2018	2018-03-02T05:00:00Z	2018-05-01T04:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1032	FALSE
A/NewYork/26/2018	2018-03-09T05:00:00Z	2018-05-01T04:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1033	FALSE
A/NewYork/23/2018	2018-02-27T05:00:00Z	2018-04-03T04:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1034	FALSE
A/NewYork/22/2018	2018-02-26T05:00:00Z	2018-04-03T04:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1035	FALSE
A/NewYork/16/2018	2018-02-21T05:00:00Z	2018-03-19T04:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1036	FALSE
A/NewYork/14/2018	2018-02-16T05:00:00Z	2018-03-19T04:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1037	FALSE
A/NewYork/10/2018	2018-02-02T05:00:00Z	2018-03-13T04:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1038	FALSE
A/NewYork/04/2018	2018-01-15T05:00:00Z	2018-02-21T05:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1040	FALSE
A/NewYork/05/2018	2018-01-16T05:00:00Z	2018-02-21T05:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1041	FALSE
A/NewYork/60/2017	2017-12-29T05:00:00Z	2018-02-06T05:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1042	FALSE
A/NewYork/59/2017	2017-12-28T05:00:00Z	2018-02-06T05:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1043	FALSE
A/NewYork/57/2017	2017-12-25T05:00:00Z	2018-02-06T05:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1044	FALSE
A/NewYork/54/2017	2017-12-16T05:00:00Z	2018-02-06T05:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1045	FALSE
A/NewYork/34/2017	2017-10-09T04:00:00Z	2018-02-06T05:00:00Z	A/H1N1	pdm09	 New York State Department of Health 	 Centers for Disease Control and Prevention	1046	FALSE
A/NewYork/18/2018	2018-02-13T05:00:00Z	2018-03-26T04:00:00Z	A/H1N1	pdm09	 New York City Department of Health 	 Centers for Disease Control and Prevention	1047	FALSE
A/NewYork/17/2018	2018-02-04T05:00:00Z	2018-03-26T04:00:00Z	A/H1N1	pdm09	 New York City Department of Health 	 Centers for Disease Control and Prevention	1048	FALSE
A/NewYork/61/2017	2017-12-12T05:00:00Z	2018-02-12T05:00:00Z	A/H1N1	pdm09	 New York City Department of Health 	 Centers for Disease Control and Prevention	1049	FALSE
A/NewYork/6553/2018	2018-01-02T05:00:00Z	2018-05-10T04:00:00Z	A/H1N1	unknown	  	 Other Database Import	1050	FALSE
A/NewYork/6552/2017	2017-12-30T05:00:00Z	2018-05-10T04:00:00Z	A/H1N1	unknown	  	 Other Database Import	1051	FALSE
A/NewYork/A-WC-LVD-16-069/2016	2016-04-17T04:00:00Z	2017-12-08T05:00:00Z	A/H1N1	unknown	  	 Other Database Import	1077	FALSE
A/NewYork/A-WC-LVD-16-068/2016	2016-03-31T04:00:00Z	2017-12-08T05:00:00Z	A/H1N1	unknown	  	 Other Database Import	1078	FALSE
A/NewYork/A-WC-LVD-16-067/2016	2016-03-11T05:00:00Z	2017-12-08T05:00:00Z	A/H1N1	unknown	  	 Other Database Import	1079	FALSE
A/NewYork/A-WC-LVD-16-066/2016	2016-03-05T05:00:00Z	2017-12-08T05:00:00Z	A/H1N1	unknown	  	 Other Database Import	1080	FALSE
A/NewYork/A-WC-LVD-16-063/2016	2016-02-22T05:00:00Z	2017-12-08T05:00:00Z	A/H1N1	unknown	  	 Other Database Import	1081	FALSE
A/NewYork/A-WC-LVD-16-062/2016	2016-03-22T04:00:00Z	2017-12-08T05:00:00Z	A/H1N1	unknown	  	 Other Database Import	1082	FALSE
A/NewYork/A-WC-LVD-16-059/2016	2016-02-12T05:00:00Z	2017-12-08T05:00:00Z	A/H1N1	unknown	  	 Other Database Import	1083	FALSE
A/NewYork/A-WC-LVD-16-058/2016	2016-02-29T05:00:00Z	2017-12-08T05:00:00Z	A/H1N1	unknown	  	 Other Database Import	1084	FALSE
